year_received,district_code,district_name,legal_dong_code,legal_dong_name,lot_type,lot_type_name,main_number,sub_number,building_name,contract_date,price_10k_krw,building_area_m2,land_area_m2,floor,year_built,building_usage_en,report_type_en,reporting_agent_district_en,year,month,day
2026,11680,gangnam,10800,nonhyeon,1.0,land,274.0,0.0,경남논현,2026-02-23,184500,84.89,0.0,3.0,1996.0,Apartment,Brokered Transaction,Seoul Seocho-gu,2026,2,23
2026,11680,gangnam,11500,suseo,1.0,land,746.0,0.0,까치마을,2026-02-23,168000,39.6,0.0,7.0,1993.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,23
2026,11680,gangnam,10100,yeoksam,1.0,land,824.0,25.0,대우디오빌플러스,2026-02-22,30900,34.41,0.0,13.0,2004.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,22
2026,11680,gangnam,10300,gaepo,1.0,land,1231.0,8.0,아무르하우스,2026-02-20,74000,48.14,29.0,5.0,2015.0,Multi-family house,Brokered Transaction,Seoul Gangnam-gu,2026,2,20
2026,11680,gangnam,10600,daechi,1.0,land,943.0,24.0,신안메트로칸,2026-02-20,28000,30.11,43.48,5.0,2004.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,20
2026,11680,gangnam,10100,yeoksam,1.0,land,735.0,17.0,역삼 푸르지오 시티,2026-02-19,38900,31.94,31.94,14.0,2016.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,19
2026,11680,gangnam,10300,gaepo,1.0,land,1284.0,0.0,개포자이프레지던스,2026-02-14,267500,49.952,0.0,10.0,2023.0,Apartment,Brokered Transaction,"Seoul Gangnam-gu, Seoul Songpa-gu",2026,2,14
2026,11680,gangnam,10800,nonhyeon,1.0,land,205.0,2.0,논현동한화꿈에그린,2026-02-14,127500,67.671,0.0,4.0,2005.0,Apartment,Brokered Transaction,"Seoul Gangnam-gu, Seoul Yongsan-gu",2026,2,14
2026,11680,gangnam,10300,gaepo,1.0,land,660.0,1.0,디에이치 퍼스티어 아이파크,2026-02-14,393500,84.995,0.0,4.0,0.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,14
2026,11680,gangnam,10100,yeoksam,1.0,land,824.0,25.0,대우디오빌플러스,2026-02-13,43000,43.99,0.0,11.0,2004.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,13
2026,11680,gangnam,10100,yeoksam,1.0,land,722.0,0.0,경남아너스빌,2026-02-13,150000,84.688,0.0,13.0,2002.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,13
2026,11680,gangnam,10800,nonhyeon,1.0,land,150.0,8.0,엠마오빌,2026-02-13,64000,73.81,37.0,3.0,2002.0,Multi-family house,Brokered Transaction,Seoul Gangnam-gu,2026,2,13
2026,11680,gangnam,10600,daechi,1.0,land,316.0,0.0,은마,2026-02-13,364000,76.79,0.0,7.0,1979.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,13
2026,11680,gangnam,10600,daechi,1.0,land,910.0,11.0,스톤빌리지대치3차,2026-02-13,104500,54.3,31.0,6.0,2018.0,Multi-family house,Brokered Transaction,Seoul Gangnam-gu,2026,2,13
2026,11680,gangnam,10400,cheongdam,1.0,land,134.0,18.0,청담 르엘,2026-02-12,670000,84.746,0.0,16.0,0.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,12
2026,11680,gangnam,11400,ilwon,1.0,land,652.0,1.0,한차임,2026-02-12,80000,27.53,23.0,4.0,2020.0,Multi-family house,Brokered Transaction,Seoul Gangnam-gu,2026,2,12
2026,11680,gangnam,10700,sinsa,1.0,land,551.0,5.0,하야트빌,2026-02-12,94000,70.95,0.0,2.0,2005.0,Apartment,Brokered Transaction,"Seoul Gangnam-gu, Seoul Seocho-gu",2026,2,12
2026,11680,gangnam,10100,yeoksam,1.0,land,719.0,24.0,역삼역센트럴푸르지오시티,2026-02-12,46000,32.42,51.7347,18.0,2019.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,12
2026,11680,gangnam,11200,jagok,1.0,land,646.0,0.0,엘에이치강남8단지,2026-02-11,144000,59.6,82.0,4.0,2013.0,Multi-family house,Brokered Transaction,Seoul Gangnam-gu,2026,2,11
2026,11680,gangnam,10300,gaepo,1.0,land,1164.0,12.0,새롬(1164-12),2026-02-11,100000,73.5,0.0,2.0,2000.0,Apartment,Brokered Transaction,"경기 안양시 만안구, 경기 용인시 처인구",2026,2,11
2026,11680,gangnam,10100,yeoksam,1.0,land,832.0,33.0,성우스타우스오피스텔,2026-02-11,22000,32.03,41.12,6.0,2004.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,11
2026,11680,gangnam,10100,yeoksam,1.0,land,793.0,29.0,베스트빌,2026-02-11,47000,45.22,32.0,5.0,2012.0,Multi-family house,Brokered Transaction,Seoul Seongbuk-gu,2026,2,11
2026,11680,gangnam,10100,yeoksam,1.0,land,720.0,25.0,대우디오빌,2026-02-11,30000,30.03,0.0,15.0,2002.0,Apartment,Brokered Transaction,"Seoul Gangnam-gu, Seoul Seocho-gu",2026,2,11
2026,11680,gangnam,11200,jagok,1.0,land,655.0,0.0,강남 푸르지오시티 2차(PRUGIO CITYⅡ),2026-02-11,14300,19.971,26.45,2.0,2014.0,Officetel,Brokered Transaction,Chungbuk Jincheon-gun,2026,2,11
2026,11680,gangnam,10600,daechi,1.0,land,928.0,5.0,공간아트빌,2026-02-11,65000,56.69,22.0,4.0,2000.0,Multi-family house,Brokered Transaction,Seoul Gangnam-gu,2026,2,11
2026,11680,gangnam,10100,yeoksam,1.0,land,825.0,24.0,강남역 효성해링턴 타워 더퍼스트,2026-02-11,26000,25.73,34.029,8.0,2014.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,11
2026,11680,gangnam,10400,cheongdam,1.0,land,5.0,0.0,경원오피스텔,2026-02-11,27400,22.77,31.66,13.0,1991.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,11
2026,11680,gangnam,11800,dogok,1.0,land,550.0,1.0,파크힐,2026-02-10,75500,47.6,0.0,2.0,2005.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,10
2026,11680,gangnam,10800,nonhyeon,1.0,land,150.0,8.0,엠마오빌,2026-02-10,82000,103.48,52.0,5.0,2002.0,Multi-family house,Brokered Transaction,Seoul Gangnam-gu,2026,2,10
2026,11680,gangnam,11500,suseo,1.0,land,736.0,0.0,신동아,2026-02-10,209000,49.96,0.0,2.0,1992.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,10
2026,11680,gangnam,10100,yeoksam,1.0,land,832.0,7.0,황화빌딩,2026-02-10,21300,27.9,41.06,11.0,1991.0,Officetel,Brokered Transaction,"Seoul Gangnam-gu, Seoul Dobong-gu",2026,2,10
2026,11680,gangnam,10300,gaepo,1.0,land,1171.0,6.0,뉴아트빌라,2026-02-09,55000,42.96,18.0,2.0,2000.0,Multi-family house,Brokered Transaction,Seoul Gangnam-gu,2026,2,9
2026,11680,gangnam,10300,gaepo,1.0,land,1281.0,0.0,디에이치아너힐즈,2026-02-09,337000,59.747,0.0,21.0,2019.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,9
2026,11680,gangnam,10100,yeoksam,1.0,land,824.0,25.0,대우디오빌플러스,2026-02-09,29000,38.96,48.49,9.0,2004.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,9
2026,11680,gangnam,10100,yeoksam,1.0,land,735.0,17.0,역삼 푸르지오 시티,2026-02-09,38000,31.94,31.94,12.0,2016.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,9
2026,11680,gangnam,11200,jagok,1.0,land,611.0,0.0,래미안강남힐즈,2026-02-09,205000,91.96,0.0,3.0,2014.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,9
2026,11680,gangnam,10500,samseong,1.0,land,45.0,9.0,봉은사로461주상복합(주식회사프레스티지),2026-02-09,58200,31.07,6.0,12.0,2017.0,Multi-family house,Brokered Transaction,Seoul Gangnam-gu,2026,2,9
2026,11680,gangnam,10800,nonhyeon,1.0,land,58.0,2.0,마일스디오빌,2026-02-09,35000,36.29,0.0,3.0,2004.0,Apartment,Brokered Transaction,"Seoul Gangnam-gu, Seoul Mapo-gu",2026,2,9
2026,11680,gangnam,10100,yeoksam,1.0,land,837.0,18.0,강남역 서희스타힐스 오피스텔,2026-02-09,19800,25.36,38.78,10.0,2012.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,9
2026,11680,gangnam,10500,samseong,1.0,land,85.0,5.0,현대하이츠빌라,2026-02-09,205000,84.98,98.0,1.0,1988.0,Multi-family house,Brokered Transaction,Seoul Gangnam-gu,2026,2,9
2026,11680,gangnam,10800,nonhyeon,1.0,land,96.0,0.0,(96),2026-02-09,20000,22.05,22.05,4.0,1987.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,9
2026,11680,gangnam,10500,samseong,1.0,land,158.0,4.0,삼성역 두산위브센티움,2026-02-09,28950,27.06,36.09,7.0,2003.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,9
2026,11680,gangnam,11500,suseo,1.0,land,746.0,0.0,까치마을,2026-02-08,137000,34.44,0.0,1.0,1993.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,8
2026,11680,gangnam,10300,gaepo,1.0,land,1180.0,9.0,운영빌라,2026-02-08,58500,44.28,21.0,1.0,1995.0,Multi-family house,Brokered Transaction,Seoul Gangnam-gu,2026,2,8
2026,11680,gangnam,10100,yeoksam,1.0,land,719.0,24.0,역삼역센트럴푸르지오시티,2026-02-07,20400,17.573,28.0423,6.0,2019.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,7
2026,11680,gangnam,10500,samseong,1.0,land,34.0,12.0,힐스테이7,2026-02-07,30000,21.87,13.0,2.0,2016.0,Multi-family house,Brokered Transaction,Seoul Seocho-gu,2026,2,7
2026,11680,gangnam,10300,gaepo,1.0,land,1262.0,7.0,동삼빌리지,2026-02-07,120000,81.57,53.0,2.0,1991.0,Multi-family house,Brokered Transaction,Seoul Gangnam-gu,2026,2,7
2026,11680,gangnam,11500,suseo,1.0,land,716.0,0.0,사이룩스,2026-02-07,25000,30.25,40.49,15.0,2003.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,7
2026,11680,gangnam,10300,gaepo,1.0,land,1171.0,7.0,수창스마트빌,2026-02-07,31000,22.86,14.0,4.0,2015.0,Multi-family house,Brokered Transaction,Seoul Gangnam-gu,2026,2,7
2026,11680,gangnam,10100,yeoksam,1.0,land,603.0,7.0,신논현 마에스트로,2026-02-07,20500,21.27,31.62,12.0,2013.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,7
2026,11680,gangnam,10600,daechi,1.0,land,890.0,59.0,선릉역 롯데골드로즈2,2026-02-07,32800,39.0,54.46,14.0,2004.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,7
2026,11680,gangnam,10500,samseong,1.0,land,16.0,2.0,삼성동힐스테이트 1단지,2026-02-07,158500,31.402,0.0,6.0,2008.0,Apartment,Brokered Transaction,"Seoul Gangnam-gu, Seoul Songpa-gu",2026,2,7
2026,11680,gangnam,11100,segok,1.0,land,533.0,0.0,세곡푸르지오,2026-02-07,190000,84.84,0.0,11.0,2012.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,7
2026,11680,gangnam,10100,yeoksam,1.0,land,664.0,28.0,케아하우스,2026-02-07,29200,23.48,15.0,2.0,2017.0,Multi-family house,Brokered Transaction,Seoul Gangnam-gu,2026,2,7
2026,11680,gangnam,11200,jagok,1.0,land,655.0,0.0,강남 푸르지오시티 2차(PRUGIO CITYⅡ),2026-02-07,15000,21.872,28.968,9.0,2014.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,7
2026,11680,gangnam,10500,samseong,1.0,land,50.0,0.0,현대힐스테이트2단지,2026-02-07,199000,40.763,0.0,2.0,2008.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,7
2026,11680,gangnam,10400,cheongdam,1.0,land,5.0,0.0,경원오피스텔,2026-02-06,28000,22.77,31.66,14.0,1991.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,6
2026,11680,gangnam,10500,samseong,1.0,land,7.0,3.0,래미안삼성2차,2026-02-06,386000,119.29,0.0,9.0,2007.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,6
2026,11680,gangnam,11500,suseo,1.0,land,746.0,0.0,까치마을,2026-02-06,154000,34.44,0.0,13.0,1993.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,6
2026,11680,gangnam,10800,nonhyeon,1.0,land,152.0,5.0,논현동대우아이빌 힐타운,2026-02-06,33000,43.41,58.0,5.0,2003.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,6
2026,11680,gangnam,10800,nonhyeon,1.0,land,152.0,5.0,논현동대우아이빌 힐타운,2026-02-06,32000,40.55,54.18,3.0,2003.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,6
2026,11680,gangnam,10600,daechi,1.0,land,910.0,11.0,스톤빌리지대치3차,2026-02-06,95000,52.38,30.0,6.0,2018.0,Multi-family house,Brokered Transaction,Seoul Gangnam-gu,2026,2,6
2026,11680,gangnam,10100,yeoksam,1.0,land,642.0,16.0,성지하이츠-11,2026-02-06,28900,36.13,48.06,14.0,1994.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,6
2026,11680,gangnam,11500,suseo,1.0,land,736.0,0.0,신동아,2026-02-05,200000,49.96,0.0,3.0,1992.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,5
2026,11680,gangnam,10100,yeoksam,1.0,land,735.0,11.0,신일유토빌,2026-02-05,19000,32.99,43.78,4.0,2003.0,Officetel,Brokered Transaction,경남 양산시,2026,2,5
2026,11680,gangnam,10100,yeoksam,1.0,land,900.0,0.0,시티프라디움더강남101동,2026-02-05,160000,59.99,0.0,10.0,2021.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,5
2026,11680,gangnam,10100,yeoksam,1.0,land,796.0,14.0,미도휴먼빌,2026-02-05,57500,42.869,28.0,3.0,2017.0,Multi-family house,Brokered Transaction,Seoul Gangnam-gu,2026,2,5
2026,11680,gangnam,10100,yeoksam,1.0,land,774.0,34.0,리치웰빌라트2차,2026-02-05,62000,29.89,18.0,4.0,2017.0,Multi-family house,Brokered Transaction,Seoul Gangnam-gu,2026,2,5
2026,11680,gangnam,10300,gaepo,1.0,land,187.0,0.0,개포주공5단지,2026-02-05,345000,53.98,0.0,7.0,1983.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,5
2026,11680,gangnam,11400,ilwon,1.0,land,641.0,8.0,골드리버강남Ⅱ,2026-02-05,70000,29.33,21.0,4.0,2021.0,Multi-family house,Brokered Transaction,Seoul Gangnam-gu,2026,2,5
2026,11680,gangnam,10100,yeoksam,1.0,land,832.0,16.0,BIEL 106,2026-02-05,28500,21.394,31.3412,15.0,2018.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,5
2026,11680,gangnam,10100,yeoksam,1.0,land,832.0,16.0,BIEL 106,2026-02-05,27500,21.394,31.3412,2.0,2018.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,5
2026,11680,gangnam,11200,jagok,1.0,land,619.0,0.0,강남자곡 힐스테이트,2026-02-05,126000,59.93,0.0,6.0,2015.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,5
2026,11680,gangnam,10100,yeoksam,1.0,land,837.0,18.0,강남역 서희스타힐스 오피스텔,2026-02-05,19300,25.5,39.0,6.0,2012.0,Officetel,Brokered Transaction,Seoul Songpa-gu,2026,2,5
2026,11680,gangnam,11200,jagok,1.0,land,670.0,0.0,강남센터뷰,2026-02-05,17000,21.25,32.75,6.0,2018.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,5
2026,11680,gangnam,10300,gaepo,1.0,land,1209.0,11.0,대림빌라,2026-02-05,73000,61.79,29.0,2.0,2000.0,Multi-family house,Brokered Transaction,Seoul Gangnam-gu,2026,2,5
2026,11680,gangnam,10300,gaepo,1.0,land,13.0,3.0,대청타워,2026-02-05,20000,32.441,45.481,6.0,1997.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,5
2026,11680,gangnam,10600,daechi,1.0,land,945.0,20.0,대치3차 아이파크 오피스텔,2026-02-04,34000,22.39,34.48,8.0,2019.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,4
2026,11680,gangnam,10800,nonhyeon,1.0,land,225.0,6.0,논현 아이파크,2026-02-04,38700,27.56,40.1879,10.0,2020.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,4
2026,11680,gangnam,11800,dogok,1.0,land,467.0,6.0,대림아크로빌,2026-02-04,294500,130.545,0.0,32.0,1999.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,4
2026,11680,gangnam,10300,gaepo,1.0,land,1280.0,0.0,래미안블레스티지,2026-02-04,367000,84.943,0.0,19.0,2019.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,4
2026,11680,gangnam,11800,dogok,1.0,land,467.0,24.0,우성캐릭터199,2026-02-04,26000,26.87,26.87,3.0,1998.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,4
2026,11680,gangnam,10100,yeoksam,1.0,land,778.0,11.0,아이리스,2026-02-04,42500,24.25,14.0,4.0,2010.0,Multi-family house,Brokered Transaction,Seoul Gangnam-gu,2026,2,4
2026,11680,gangnam,11800,dogok,1.0,land,467.0,24.0,우성캐릭터199,2026-02-03,50000,45.93,62.39,18.0,1998.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,3
2026,11680,gangnam,10800,nonhyeon,1.0,land,188.0,3.0,아이파크,2026-02-03,20000,14.18,9.0,4.0,2013.0,Multi-family house,Brokered Transaction,Seoul Seocho-gu,2026,2,3
2026,11680,gangnam,10500,samseong,1.0,land,103.0,22.0,래미안삼성1차(103-22),2026-02-03,342000,106.98,0.0,7.0,2006.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,3
2026,11680,gangnam,10800,nonhyeon,1.0,land,22.0,0.0,신동아(22),2026-02-03,110000,35.73,0.0,1.0,1997.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,3
2026,11680,gangnam,10500,samseong,1.0,land,123.0,26.0,현대파크빌라,2026-02-03,37000,47.85,23.0,2.0,1992.0,Multi-family house,Brokered Transaction,Seoul Gangnam-gu,2026,2,3
2026,11680,gangnam,10400,cheongdam,1.0,land,127.0,31.0,청담현대3차아파트,2026-02-03,340000,109.53,0.0,1.0,1999.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,3
2026,11680,gangnam,10800,nonhyeon,1.0,land,136.0,39.0,케아하우스23차,2026-02-03,32000,28.66,24.0,3.0,2013.0,Multi-family house,Brokered Transaction,"Seoul Gangnam-gu, Seoul Seocho-gu",2026,2,3
2026,11680,gangnam,11500,suseo,1.0,land,795.0,0.0,강남데시앙포레,2026-02-03,228000,59.74,0.0,3.0,2014.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,3
2026,11680,gangnam,11100,segok,1.0,land,579.0,0.0,강남엘에이치1단지,2026-02-02,195000,84.83,0.0,9.0,2013.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,2
2026,11680,gangnam,10300,gaepo,1.0,land,187.0,0.0,개포주공5단지,2026-02-02,414000,83.17,0.0,3.0,1983.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,2
2026,11680,gangnam,10700,sinsa,1.0,land,593.0,32.0,토미,2026-02-02,90000,80.83,0.0,2.0,2004.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,2
2026,11680,gangnam,11200,jagok,1.0,land,658.0,0.0,강남힐스테이트에코,2026-02-02,16600,24.118,31.983,9.0,2014.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,2
2026,11680,gangnam,11200,jagok,1.0,land,619.0,0.0,강남자곡 힐스테이트,2026-02-02,167000,74.8,0.0,17.0,2015.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,2
2026,11680,gangnam,10400,cheongdam,1.0,land,43.0,0.0,청담우방아파트,2026-02-02,265000,118.47,0.0,7.0,1999.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,2
2026,11680,gangnam,10100,yeoksam,1.0,land,796.0,15.0,모던클레식하우스,2026-02-02,55000,34.38,22.0,5.0,2017.0,Multi-family house,Brokered Transaction,Seoul Seocho-gu,2026,2,2
2026,11680,gangnam,11500,suseo,1.0,land,746.0,0.0,까치마을,2026-02-02,160000,39.6,0.0,8.0,1993.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,2
2026,11680,gangnam,10600,daechi,1.0,land,891.0,26.0,대우아이빌멤버스(891-26),2026-02-02,34000,35.796,0.0,6.0,2003.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,2
2026,11680,gangnam,10100,yeoksam,1.0,land,705.0,9.0,삼흥오피스텔,2026-02-02,32000,41.4,57.39,14.0,1991.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,2,2
2026,11680,gangnam,11000,apgujeong,1.0,land,414.0,0.0,미성1차,2026-02-01,555000,105.65,0.0,9.0,1982.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,2,1
2026,11680,gangnam,10800,nonhyeon,1.0,land,193.0,4.0,(193-4),2026-02-01,17000,20.75,12.0,5.0,2011.0,Multi-family house,Brokered Transaction,서울 구로구,2026,2,1
2026,11680,gangnam,10100,yeoksam,1.0,land,746.0,4.0,역삼빌라(746-4),2026-01-31,55000,48.39,37.0,-1.0,1987.0,Multi-family house,Brokered Transaction,Seoul Gangnam-gu,2026,1,31
2026,11680,gangnam,10100,yeoksam,1.0,land,719.0,24.0,역삼역센트럴푸르지오시티,2026-01-31,56400,39.187,62.5334,12.0,2019.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,1,31
2026,11680,gangnam,10100,yeoksam,1.0,land,719.0,24.0,역삼역센트럴푸르지오시티,2026-01-31,56400,39.187,62.5334,17.0,2019.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,1,31
2026,11680,gangnam,10800,nonhyeon,1.0,land,276.0,1.0,아크로힐스논현,2026-01-31,317000,84.13,0.0,29.0,2014.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,1,31
2026,11680,gangnam,10300,gaepo,1.0,land,1179.0,3.0,아트빌라,2026-01-31,39500,28.07,11.0,4.0,1993.0,Multi-family house,Brokered Transaction,Seoul Gangnam-gu,2026,1,31
2026,11680,gangnam,10400,cheongdam,1.0,land,134.0,18.0,청담 르엘,2026-01-31,1020000,136.84,0.0,17.0,0.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,1,31
2026,11680,gangnam,10100,yeoksam,1.0,land,706.0,24.0,진넥스빌2,2026-01-31,20000,23.85,0.0,11.0,2003.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,1,31
2026,11680,gangnam,10500,samseong,1.0,land,50.0,0.0,현대힐스테이트2단지,2026-01-31,356000,84.679,0.0,8.0,2008.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,1,31
2026,11680,gangnam,10400,cheongdam,1.0,land,67.0,1.0,청담린든그로브,2026-01-31,273000,84.997,0.0,3.0,2017.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,1,31
2026,11680,gangnam,11800,dogok,1.0,land,948.0,22.0,클래스원비,2026-01-31,87000,63.27,29.0,2.0,2022.0,Multi-family house,Brokered Transaction,Seoul Seocho-gu,2026,1,31
2026,11680,gangnam,10500,samseong,1.0,land,106.0,0.0,풍림(1차),2026-01-31,205000,59.7,0.0,1.0,1998.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,1,31
2026,11680,gangnam,10600,daechi,1.0,land,925.0,0.0,스톤빌리지대치4차,2026-01-31,117000,50.98,26.0,3.0,2019.0,Multi-family house,Brokered Transaction,"Seoul Gangnam-gu, Seoul Yongsan-gu",2026,1,31
2026,11680,gangnam,10300,gaepo,1.0,land,1210.0,6.0,벽산빌라,2026-01-31,130000,109.7,60.0,4.0,1996.0,Multi-family house,Brokered Transaction,Seoul Gangnam-gu,2026,1,31
2026,11680,gangnam,11500,suseo,1.0,land,746.0,0.0,까치마을,2026-01-31,166500,39.6,0.0,12.0,1993.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,1,31
2026,11680,gangnam,10600,daechi,1.0,land,891.0,26.0,대우아이빌멤버스(891-26),2026-01-31,32000,35.236,0.0,11.0,2003.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,1,31
2026,11680,gangnam,10600,daechi,1.0,land,891.0,26.0,대치동대우아이빌멤버스,2026-01-31,44500,47.107,58.71,3.0,2003.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,1,31
2026,11680,gangnam,11500,suseo,1.0,land,738.0,0.0,동익,2026-01-31,250000,84.46,0.0,12.0,1993.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,1,31
2026,11680,gangnam,10100,yeoksam,1.0,land,824.0,25.0,대우디오빌플러스,2026-01-30,43200,43.99,0.0,9.0,2004.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,1,30
2026,11680,gangnam,10800,nonhyeon,1.0,land,275.0,0.0,동부센트레빌,2026-01-30,250000,114.498,0.0,7.0,2003.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,1,30
2026,11680,gangnam,10800,nonhyeon,1.0,land,275.0,0.0,동부센트레빌,2026-01-30,292000,114.498,0.0,19.0,2003.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,1,30
2026,11680,gangnam,11400,ilwon,1.0,land,734.0,0.0,상록수,2026-01-30,325000,84.95,0.0,2.0,1993.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,1,30
2026,11680,gangnam,11400,ilwon,1.0,land,635.0,14.0,(635-14),2026-01-30,107500,27.67,27.0,4.0,2023.0,Multi-family house,Brokered Transaction,Seoul Gangnam-gu,2026,1,30
2026,11680,gangnam,11200,jagok,1.0,land,658.0,0.0,강남힐스테이트에코,2026-01-30,15900,24.096,31.953,3.0,2014.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,1,30
2026,11680,gangnam,10500,samseong,1.0,land,144.0,14.0,채널리저브,2026-01-29,110000,62.02,83.87,20.0,2007.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,1,29
2026,11680,gangnam,10400,cheongdam,1.0,land,130.0,0.0,청담아이파크,2026-01-29,300000,110.13,0.0,2.0,1992.0,Apartment,Brokered Transaction,"Seoul Gangnam-gu, Seoul Songpa-gu",2026,1,29
2026,11680,gangnam,11100,segok,1.0,land,587.0,0.0,강남 지웰파인즈,2026-01-29,20000,22.906,35.307,4.0,2016.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,1,29
2026,11680,gangnam,10600,daechi,1.0,land,889.0,5.0,샹제리제센터,2026-01-29,29800,35.7,35.7,5.0,1990.0,Officetel,Brokered Transaction,Seoul Gangnam-gu,2026,1,29
2026,11680,gangnam,10800,nonhyeon,1.0,land,22.0,0.0,신동아(22),2026-01-29,113000,35.73,0.0,6.0,1997.0,Apartment,Brokered Transaction,Seoul Gangnam-gu,2026,1,29
